FirstName,LastName,Ethnicity,Gender
Bradley,Becker,White,Male
Kurt,Schultz,White,Male
Todd,Gallagher,White,Male
Colleen,Klein,White,Female
Krista,O'Donnell,White,Female
Megan,Olson,White,Female
Roosevelt,Drayton,Black,Male
Tyrone,Ivory,Black,Male
Jermaine,Smalls,Black,Male
Latonya,Artis,Black,Female
Keisha,Lockett,Black,Female
Ebony,Washington,Black,Female
Wei,Liu,API,Male
Wang,Tao,API,Male
Rajesh,Patel,API,Male
Mei,Takahashi,API,Female
Wang,Jing,API,Female
Priya,Gupta,API,Female
Ignacio,Maldonado,Hispanic,Male
Humberto,Mejia,Hispanic,Male
Jose,Rodriguez,Hispanic,Male
Blanca,Jimenez,Hispanic,Female
Guadalupe,Espinoza,Hispanic,Female
Graciela,Gonzalez,Hispanic,Female
Brett,Snyder,White,Male
Scott,Wagner,White,Male
Matthew,Hoffman,White,Male
Beth,Schmidt,White,Female
Jill,Carlson,White,Female
Kathleen,Schneider,White,Female
Darnell,Okafor,Black,Male
Willie,Baptiste,Black,Male
Alphonso,Boykins,Black,Male
Tamika,Gadson,Black,Female
Latasha,Boateng,Black,Female
Kenya,Ajayi,Black,Female
Son,Ho-jun,API,Male
Hong,Leong,API,Male
Jian,Huang,API,Male
Chun,Hua,API,Female
Li,Na,API,Female
Yi,Mei-Ling,API,Female
Juan,Gomez,Hispanic,Male
Javier,Vasquez,Hispanic,Male
Miguel,Delgado,Hispanic,Male
Rocio,Alvarado,Hispanic,Female
Juana,Morales,Hispanic,Female
Alejandra,Ramirez,Hispanic,Female
